"","prolific_id","date","time","assignment","age","sex","instruction","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"1","5c393eab1ede2b000115938c","2023_12_13","12_05_57","bhl","22","female",4,12421,274749,"8","6","I just kept extracting the one with the most energy points over and over","","WPH25O69",1702396821846
"2","5f0c94983314760efb2814c1","2023_12_13","17_06_23","bhl","52","female",1,17238,302168,"8","6","I found a combo that fused to 338 and just kept extracting this one","Very interetsing and fun","4RW2WXFR",1702396820825
"3","650624fe967e3e2546ffc90a","2023_12_13","12_09_56","bhl","27","male",3,12670,282189,"7","2","combine and get lucky then combine those and get lucky again and extract the large Amount","this was quite fun","1UHBL7OI",1702397053299
"4","58d9300e33fef3000118a808","2023_12_13","17_11_48","bhl","52","female",1,27599,462979,"8","3","Try to get as many fused gems to increase score and then extract as many as possible","","X0KLARVD",1702396985017
"5","657874a46cc0fadefe9ac112","2023_12_14","01_14_47","bhl","45","female",5,5250,543516,"10","0","I tried them alphabetically and in numerical sequence so like A then miss B then add C to fuse like this. And on the next one I would do one after the other or two at one end and then fusing two at the other end.","It was a very interesting experiment. I have never participated in something like this before so it really opened up my mind. Thank you for this opportunity.","ZOTGJXKZ",1702397083062
"6","60bbacbdbc9006c3e6fc64ac","2023_12_13","17_16_19","bhl","38","male",6,23122,332773,"8","5","trial and error","no","UBBYMVP9",1702397385630
"7","5ecc505f8b62d245d80365b9","2023_12_13","19_24_01","bhl","30","female",2,14420,374668,"10","5","I decided to try fusing 3 times and then extract the max points.","It was super fun","AD433ZEC",1702397805940
"8","599b3695d25b9e0001826d5a","2023_12_13","17_25_55","bhl","21","female",2,13739,347900,"9","2","use up to five button presses to combine crystals then use the other 5 to extract","","Q9O3PA3X",1702397946818
"9","62d8229a7c40118d96ddcd58","2023_12_13","17_30_03","bhl","27","male",1,32002,772728,"9","2","It was always best to fuse first. This was because multiplication increases far more rapidly than addition when summing them at the end. If a fuse failed however it was best to then stop as significant progress is lost in  trying to generate a greater number. Too much fuse however started to also lose value so it was best to pay attention to the numbers and also how many attempts were left as the ideal best value was somewhere in the middle.","This was a unique and engaging survey very much enjoyed taking part.","2YJ6TJ6D",1702397769289
"10","5f7f239e9b204e05b6c36538","2023_12_13","19_31_32","bhl","29","female",1,21920,474293,"10","0","Fusing more to get higher energies then extracting","None.","GD1QGBE0",1702398156716
"11","62d7b553cd812e32437428e4","2023_12_13","17_37_50","bhl","29","male",1,17755,234063,"9","2","I tried to make better crystals each time to see if my score would increase by doing do but also so I would defiantly get a score from the first ones by not pushing fuse too far","","RTW407G1",1702398775700
"12","5cf91e3f1756e60017a30568","2023_12_13","17_39_53","bhl","46","female",15,34265,467449,"7","5","I tried to fuse big crystals with other big crystals","No","C2GNIUJO",1702398664567
